State,Inbound_Movers,Outbound_Movers,Net_Migration,Population,Net_Migration_Rate,Migration_Efficiency
Alabama,119421.0,99663.0,19758.0,5058397,0.390598049144818,0.0901845867338555
Alaska,30676.0,35800.0,-5124.0,725129,-0.7066328887687571,-0.07708045008724954
Arizona,256203.0,193670.0,62533.0,7362464,0.8493488049652942,0.13900145152076251
Arkansas,73123.0,63179.0,9944.0,3034111,0.32774015189292677,0.07295564261712961
California,422075.0,690127.0,-268052.0,38552167,-0.6952968428467329,-0.241010176208998
Colorado,232663.0,211370.0,21293.0,5819109,0.36591512549429817,0.04795364308508602
Connecticut,94990.0,91384.0,3606.0,3576682,0.10081969825665238,0.019348192344425724
Delaware,39006.0,29121.0,9885.0,1022638,0.9666177083190728,0.14509665771280109
District of Columbia,56860.0,64336.0,-7476.0,,,-0.061685204132149576
Florida,636933.0,510925.0,126008.0,22395466,0.562649600593263,0.10977664484631375
Georgia,310452.0,250484.0,59968.0,10909651,0.5496784452591563,0.10690702682658984
Hawaii,58539.0,58078.0,461.0,1420012,0.03246451438438548,0.0039531114674532875
Idaho,81708.0,64970.0,16738.0,1945004,0.8605637829022459,0.11411390937972975
Illinois,203758.0,297005.0,-93247.0,12427191,-0.7503465586068484,-0.18620984377839417
Indiana,150649.0,120876.0,29773.0,6783874,0.4388790239913064,0.1096510450234785
Iowa,73176.0,75032.0,-1856.0,3170553,-0.058538683945671306,-0.012522940731944295
Kansas,77138.0,92713.0,-15575.0,2907735,-0.5356402835884287,-0.09169801767431454
Kentucky,106797.0,92582.0,14215.0,4477307,0.31748995545759984,0.07129637524513614
Louisiana,69464.0,101180.0,-31716.0,4524085,-0.7010478361922908,-0.1858606221138745
Maine,38089.0,27227.0,10862.0,1385562,0.7839418228848655,0.1662992222426358
Maryland,162674.0,198764.0,-36090.0,6110314,-0.5906406773858103,-0.09985115012809942
Massachusetts,145021.0,184534.0,-39513.0,6936108,-0.5696710604852173,-0.11989804433250899
Michigan,135115.0,155530.0,-20415.0,9939831,-0.205385785734184,-0.07024032754735159
Minnesota,100277.0,108966.0,-8689.0,5673119,-0.1531608979117131,-0.041525881391492186
Mississippi,64610.0,61833.0,2777.0,2907634,0.09550720620270639,0.02196246530057022
Missouri,143688.0,135597.0,8091.0,6126390,0.13206798783622983,0.028970406573929856
Montana,36775.0,36822.0,-47.0,1120157,-0.004195840404514724,-0.0006386129869424026
Nebraska,48590.0,48659.0,-69.0,1956041,-0.0035275334208229787,-0.0007095188639471871
Nevada,122219.0,104444.0,17775.0,3159456,0.5625968521163137,0.0784203862121299
New Hampshire,39695.0,46753.0,-7058.0,1389863,-0.5078198354801876,-0.08164445678326855
New Jersey,156335.0,225514.0,-69179.0,9192631,-0.7525484271042752,-0.1811684723542552
New Mexico,64673.0,64917.0,-244.0,2093439,-0.01165546261438714,-0.001882861331892893
New York,302835.0,481544.0,-178709.0,19365855,-0.9228045960273894,-0.2278350134310072
North Carolina,339255.0,232663.0,106592.0,10719307,0.994392641240707,0.1863763686402596
North Dakota,34415.0,20814.0,13601.0,774985,1.7550017097105106,0.2462655488964131
Ohio,185341.0,184281.0,1060.0,11660232,0.009090728211925801,0.0028677946659019216
Oklahoma,107679.0,84309.0,23370.0,4011072,0.5826372600641424,0.12172635789736859
Oregon,125246.0,131403.0,-6157.0,4196830,-0.14670596616970427,-0.023989962945501445
Pennsylvania,237526.0,272461.0,-34935.0,12829324,-0.2723058518126131,-0.06850174612294038
Rhode Island,31599.0,31416.0,183.0,1086909,0.016836736102102384,0.0029040704594144253
South Carolina,203674.0,135007.0,68667.0,5319249,1.2909153153010884,0.2027483088806281
South Dakota,30055.0,29464.0,591.0,907196,0.06514578988443512,0.009929602311866799
Tennessee,203156.0,180407.0,22749.0,7046744,0.32282994812923527,0.059309683155048844
Texas,611942.0,478570.0,133372.0,30134547,0.4425883687582893,0.1223021846618836
Utah,90865.0,94351.0,-3486.0,3373801,-0.10332559626368004,-0.01882126814098134
Vermont,26743.0,19151.0,7592.0,642670,1.1813216736427716,0.16542467424935722
Virginia,276161.0,253240.0,22921.0,8626985,0.2656895775291136,0.04329610257630794
Washington,212616.0,215277.0,-2661.0,7727767,-0.03443426801040974,-0.006218844430733852
West Virginia,42020.0,41042.0,978.0,1753113,0.0557864781106523,0.011774337242060147
Wisconsin,114938.0,100085.0,14853.0,5857364,0.2535782307536291,0.06907633136920237
Wyoming,22957.0,22875.0,82.0,577612,0.014196380961614371,0.0017891429568860184
