Current_State,Previous_State,Movers_Estimate
Alabama,Alaska,780.0
Alabama,Arizona,4470.0
Alabama,Arkansas,1584.0
Alabama,California,4921.0
Alabama,Colorado,1601.0
Alabama,Connecticut,283.0
Alabama,Delaware,330.0
Alabama,District of Columbia,273.0
Alabama,Florida,17515.0
Alabama,Georgia,19270.0
Alabama,Hawaii,775.0
Alabama,Idaho,105.0
Alabama,Illinois,3362.0
Alabama,Indiana,1488.0
Alabama,Iowa,151.0
Alabama,Kansas,373.0
Alabama,Kentucky,1806.0
Alabama,Louisiana,2410.0
Alabama,Maine,0.0
Alabama,Maryland,457.0
Alabama,Massachusetts,504.0
Alabama,Michigan,1858.0
Alabama,Minnesota,1224.0
Alabama,Mississippi,8391.0
Alabama,Missouri,1983.0
Alabama,Montana,347.0
Alabama,Nebraska,295.0
Alabama,Nevada,1456.0
Alabama,New Hampshire,152.0
Alabama,New Jersey,548.0
Alabama,New Mexico,600.0
Alabama,New York,2701.0
Alabama,North Carolina,3656.0
Alabama,North Dakota,128.0
Alabama,Ohio,1993.0
Alabama,Oklahoma,481.0
Alabama,Oregon,1416.0
Alabama,Pennsylvania,1341.0
Alabama,Rhode Island,213.0
Alabama,South Carolina,1642.0
Alabama,South Dakota,62.0
Alabama,Tennessee,12640.0
Alabama,Texas,7504.0
Alabama,Utah,497.0
Alabama,Vermont,0.0
Alabama,Virginia,3171.0
Alabama,Washington,1586.0
Alabama,West Virginia,311.0
Alabama,Wisconsin,718.0
Alabama,Wyoming,49.0
Alaska,Alabama,204.0
Alaska,Arizona,618.0
Alaska,Arkansas,159.0
Alaska,California,4697.0
Alaska,Colorado,1087.0
Alaska,Connecticut,0.0
Alaska,Delaware,258.0
Alaska,District of Columbia,220.0
Alaska,Florida,1380.0
Alaska,Georgia,411.0
Alaska,Hawaii,1023.0
Alaska,Idaho,803.0
Alaska,Illinois,73.0
Alaska,Indiana,486.0
Alaska,Iowa,33.0
Alaska,Kansas,1200.0
Alaska,Kentucky,781.0
Alaska,Louisiana,198.0
Alaska,Maine,0.0
Alaska,Maryland,201.0
Alaska,Massachusetts,353.0
Alaska,Michigan,152.0
Alaska,Minnesota,611.0
Alaska,Mississippi,174.0
Alaska,Missouri,107.0
Alaska,Montana,936.0
Alaska,Nebraska,387.0
Alaska,Nevada,98.0
Alaska,New Hampshire,18.0
Alaska,New Jersey,513.0
Alaska,New Mexico,22.0
Alaska,New York,1232.0
Alaska,North Carolina,1410.0
Alaska,North Dakota,156.0
Alaska,Ohio,601.0
Alaska,Oklahoma,275.0
Alaska,Oregon,3187.0
Alaska,Pennsylvania,213.0
Alaska,Rhode Island,0.0
Alaska,South Carolina,211.0
Alaska,South Dakota,94.0
Alaska,Tennessee,340.0
Alaska,Texas,980.0
Alaska,Utah,561.0
Alaska,Vermont,45.0
Alaska,Virginia,1331.0
Alaska,Washington,2283.0
Alaska,West Virginia,0.0
Alaska,Wisconsin,34.0
Alaska,Wyoming,520.0
Arizona,Alabama,1373.0
Arizona,Alaska,2017.0
Arizona,Arkansas,1896.0
Arizona,California,54222.0
Arizona,Colorado,8344.0
Arizona,Connecticut,1085.0
Arizona,Delaware,514.0
Arizona,District of Columbia,74.0
Arizona,Florida,12762.0
Arizona,Georgia,6326.0
Arizona,Hawaii,2226.0
Arizona,Idaho,5132.0
Arizona,Illinois,9030.0
Arizona,Indiana,2974.0
Arizona,Iowa,6805.0
Arizona,Kansas,3383.0
Arizona,Kentucky,1666.0
Arizona,Louisiana,2514.0
Arizona,Maine,350.0
Arizona,Maryland,1972.0
Arizona,Massachusetts,3316.0
Arizona,Michigan,6740.0
Arizona,Minnesota,5582.0
Arizona,Mississippi,816.0
Arizona,Missouri,7390.0
Arizona,Montana,2261.0
Arizona,Nebraska,2694.0
Arizona,Nevada,6341.0
Arizona,New Hampshire,612.0
Arizona,New Jersey,2082.0
Arizona,New Mexico,6397.0
Arizona,New York,7627.0
Arizona,North Carolina,3646.0
Arizona,North Dakota,424.0
Arizona,Ohio,3091.0
Arizona,Oklahoma,2925.0
Arizona,Oregon,10465.0
Arizona,Pennsylvania,4780.0
Arizona,Rhode Island,145.0
Arizona,South Carolina,1186.0
Arizona,South Dakota,1892.0
Arizona,Tennessee,4498.0
Arizona,Texas,16779.0
Arizona,Utah,5766.0
Arizona,Vermont,242.0
Arizona,Virginia,4441.0
Arizona,Washington,12844.0
Arizona,West Virginia,40.0
Arizona,Wisconsin,4015.0
Arizona,Wyoming,2501.0
Arkansas,Alabama,1056.0
Arkansas,Alaska,17.0
Arkansas,Arizona,1112.0
Arkansas,California,6320.0
Arkansas,Colorado,3878.0
Arkansas,Connecticut,3.0
Arkansas,Delaware,0.0
Arkansas,District of Columbia,49.0
Arkansas,Florida,4555.0
Arkansas,Georgia,2117.0
Arkansas,Hawaii,319.0
Arkansas,Idaho,170.0
Arkansas,Illinois,1591.0
Arkansas,Indiana,462.0
Arkansas,Iowa,1077.0
Arkansas,Kansas,2343.0
Arkansas,Kentucky,137.0
Arkansas,Louisiana,2321.0
Arkansas,Maine,30.0
Arkansas,Maryland,109.0
Arkansas,Massachusetts,220.0
Arkansas,Michigan,210.0
Arkansas,Minnesota,1051.0
Arkansas,Mississippi,1129.0
Arkansas,Missouri,8714.0
Arkansas,Montana,1334.0
Arkansas,Nebraska,251.0
Arkansas,Nevada,1183.0
Arkansas,New Hampshire,0.0
Arkansas,New Jersey,806.0
Arkansas,New Mexico,396.0
Arkansas,New York,452.0
Arkansas,North Carolina,2433.0
Arkansas,North Dakota,0.0
Arkansas,Ohio,463.0
Arkansas,Oklahoma,3904.0
Arkansas,Oregon,122.0
Arkansas,Pennsylvania,498.0
Arkansas,Rhode Island,0.0
Arkansas,South Carolina,288.0
Arkansas,South Dakota,539.0
Arkansas,Tennessee,2959.0
Arkansas,Texas,13652.0
Arkansas,Utah,362.0
Arkansas,Vermont,0.0
Arkansas,Virginia,659.0
Arkansas,Washington,3093.0
Arkansas,West Virginia,78.0
Arkansas,Wisconsin,661.0
Arkansas,Wyoming,0.0
California,Alabama,2123.0
California,Alaska,1210.0
California,Arizona,21152.0
California,Arkansas,2092.0
California,Colorado,14784.0
California,Connecticut,3113.0
California,Delaware,772.0
California,District of Columbia,4590.0
California,Florida,19149.0
California,Georgia,11229.0
California,Hawaii,8094.0
California,Idaho,2646.0
California,Illinois,21982.0
California,Indiana,4531.0
California,Iowa,4250.0
California,Kansas,3207.0
California,Kentucky,2308.0
California,Louisiana,4522.0
California,Maine,1003.0
California,Maryland,10107.0
California,Massachusetts,10101.0
California,Michigan,12054.0
California,Minnesota,2705.0
California,Mississippi,3133.0
California,Missouri,6400.0
California,Montana,656.0
California,Nebraska,2606.0
California,Nevada,22218.0
California,New Hampshire,1202.0
California,New Jersey,12458.0
California,New Mexico,4784.0
California,New York,35062.0
California,North Carolina,8924.0
California,North Dakota,10.0
California,Ohio,7434.0
California,Oklahoma,2541.0
California,Oregon,22162.0
California,Pennsylvania,8730.0
California,Rhode Island,1050.0
California,South Carolina,5346.0
California,South Dakota,629.0
California,Tennessee,5343.0
California,Texas,38732.0
California,Utah,10939.0
California,Vermont,1012.0
California,Virginia,15837.0
California,Washington,32218.0
California,West Virginia,1125.0
California,Wisconsin,2634.0
California,Wyoming,1166.0
Colorado,Alabama,3745.0
Colorado,Alaska,1452.0
Colorado,Arizona,12378.0
Colorado,Arkansas,1435.0
Colorado,California,26148.0
Colorado,Connecticut,1875.0
Colorado,Delaware,120.0
Colorado,District of Columbia,1319.0
Colorado,Florida,12786.0
Colorado,Georgia,6522.0
Colorado,Hawaii,3347.0
Colorado,Idaho,3480.0
Colorado,Illinois,8941.0
Colorado,Indiana,2612.0
Colorado,Iowa,3407.0
Colorado,Kansas,4387.0
Colorado,Kentucky,1015.0
Colorado,Louisiana,2227.0
Colorado,Maine,628.0
Colorado,Maryland,3553.0
Colorado,Massachusetts,2885.0
Colorado,Michigan,2922.0
Colorado,Minnesota,3830.0
Colorado,Mississippi,590.0
Colorado,Missouri,4858.0
Colorado,Montana,2294.0
Colorado,Nebraska,4126.0
Colorado,Nevada,1896.0
Colorado,New Hampshire,252.0
Colorado,New Jersey,1154.0
Colorado,New Mexico,6030.0
Colorado,New York,6295.0
Colorado,North Carolina,10351.0
Colorado,North Dakota,582.0
Colorado,Ohio,6289.0
Colorado,Oklahoma,2980.0
Colorado,Oregon,3690.0
Colorado,Pennsylvania,5109.0
Colorado,Rhode Island,0.0
Colorado,South Carolina,1813.0
Colorado,South Dakota,1190.0
Colorado,Tennessee,4670.0
Colorado,Texas,32150.0
Colorado,Utah,4336.0
Colorado,Vermont,327.0
Colorado,Virginia,9719.0
Colorado,Washington,6010.0
Colorado,West Virginia,77.0
Colorado,Wisconsin,2698.0
Colorado,Wyoming,2163.0
Connecticut,Alabama,788.0
Connecticut,Alaska,11.0
Connecticut,Arizona,657.0
Connecticut,Arkansas,80.0
Connecticut,California,4972.0
Connecticut,Colorado,591.0
Connecticut,Delaware,32.0
Connecticut,District of Columbia,327.0
Connecticut,Florida,7435.0
Connecticut,Georgia,2514.0
Connecticut,Hawaii,725.0
Connecticut,Idaho,0.0
Connecticut,Illinois,1522.0
